[2023-11-02 20:21:29,839: INFO: main: Welcome to our custom log]
[2023-11-02 20:24:02,010: INFO: main: Welcome to our custom log]
[2023-11-02 22:22:05,179: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-02 22:22:05,181: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-02 22:22:05,183: INFO: common: created directory at: artifacts]
[2023-11-02 22:22:05,183: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-02 22:22:05,184: INFO: 2311482115: Downloading data from https://drive.google.com/file/d/1Awfd06An549a9JQKJpr_kk1NMXdjMhn_/view?usp=sharing into file artifacts/data_ingestion_data.zip]
[2023-11-02 22:22:07,437: INFO: 2311482115: Downloaded data from https://drive.google.com/file/d/1Awfd06An549a9JQKJpr_kk1NMXdjMhn_/view?usp=sharing into file artifacts/data_ingestion_data.zip]
[2023-11-09 22:01:46,681: INFO: main: >>>>>>>> stage Data Ingestion Stage started <<<<<<<<<<<]
[2023-11-09 22:01:46,681: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-09 22:01:46,682: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-09 22:01:46,682: INFO: common: created directory at: artifacts]
[2023-11-09 22:01:46,682: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-09 22:01:46,682: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Awfd06An549a9JQKJpr_kk1NMXdjMhn_/view?usp=sharing into file artifacts/data_ingestion_data.zip]
[2023-11-09 22:01:50,279: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Awfd06An549a9JQKJpr_kk1NMXdjMhn_/view?usp=sharing into file artifacts/data_ingestion_data.zip]
[2023-11-09 22:01:50,726: INFO: main: >>>>>>>> stage Data Ingestion Stage completed <<<<<<<<<<<]
